rider_name,owner,add_date,drop_date,replacement,replacement_for
Jonas Vingegaard,Tanner,1/9/2026,,,
Mathieu Van der Poel,Tanner,1/9/2026,,,
Isaac del Toro,Tanner,1/9/2026,,,
Oscar Onley,Tanner,1/9/2026,,,
Florian Lipowitz,Tanner,1/9/2026,,,
Tom Pidcock,Tanner,1/9/2026,,,
Primoz Roglic,Tanner,1/9/2026,6/30/26,,
Wout Van Aert,Tanner,1/9/2026,,,
Matteo Jorgenson,Tanner,1/9/2026,,,
Paul Seixas,Tanner,1/9/2026,,,
Adam Yates,Tanner,1/9/2026,,,
Jordi Meeus,Tanner,1/9/2026,,,
Ben Healy,Tanner,1/9/2026,,,
Kaden Groves,Tanner,1/9/2026,,,
Biniam Girmay,Tanner,1/9/2026,,,
Kevin Vauquelin,Tanner,1/9/2026,,,
Filippo Ganna,Tanner,1/9/2026,,,
Egan Bernal,Tanner,1/9/2026,,,
Brandon McNulty,Tanner,1/9/2026,,,
Enric Mas,Tanner,1/9/2026,,,
Paul Magnier,Tanner,1/9/2026,,,
Christian Scaroni,Tanner,1/9/2026,,,
Matthew Riccitello,Tanner,1/9/2026,,,
Quinn Simmons,Tanner,1/9/2026,,,
Michael Matthews,Tanner,1/9/2026,5/5/2026,,
Christophe Laporte,Tanner,1/28/2026,,,
Jan Christen,Tanner,1/28/2026,6/30/2026,,
Tobias Halland Johannessen,Tanner,1/28/2026,,,
Julian Alaphilippe,Tanner,1/28/2026,5/5/2026,,
Samuel Watson,Tanner,1/28/2026,5/5/2026,,
Mauro Schmid,Tanner,5/5/2026,6/30/2026,TRUE,Michael Matthews
Michael Valgren,Tanner,5/5/2026,,TRUE,Julian Alaphilippe
Sepp Kuss,Tanner,5/5/2026,,TRUE,Samuel Watson
Davide Piganzoli,Tanner,6/30/2026,,TRUE,Jan Christen
Mathias Vacek,Tanner,6/30/2026,,TRUE,Mauro Schmid
Søren Wærenskjold,Tanner,6/30/2026,,TRUE,Primoz Roglic
Joao Almeida,Daniel,1/9/2026,,,
Mads Pedersen,Daniel,1/9/2026,,,
Remco Evenepoel,Daniel,1/9/2026,,,
Juan Ayuso,Daniel,1/9/2026,,,
Jasper Philipsen,Daniel,1/9/2026,,,
Jonathan Milan,Daniel,1/9/2026,,,
Felix Gall,Daniel,1/9/2026,,,
Olav Kooij,Daniel,1/9/2026,5/5/2026,,
Tim Merlier,Daniel,1/9/2026,,,
Matthew Brennan,Daniel,1/9/2026,,,
Arnaud De Lie,Daniel,1/9/2026,,,
Giulio Ciccone,Daniel,1/9/2026,,,
Richard Carapaz,Daniel,1/9/2026,5/5/2026,,
Mattias Skjelmose,Daniel,1/9/2026,,,
Jai Hindley,Daniel,1/9/2026,,,
Jay Vine,Daniel,1/9/2026,,,
Ben O'Connor,Daniel,1/9/2026,,,
Romain Gregoire,Daniel,1/9/2026,,,
Giulio Pellizzari,Daniel,1/9/2026,,,
Derek Gee-West,Daniel,1/9/2026,,,
Thymen Arensman,Daniel,1/9/2026,,,
Lenny Martinez,Daniel,1/9/2026,,,
Antonio Tiberi,Daniel,1/9/2026,,,
Michael Storer,Daniel,1/9/2026,,,
Pavel Bittner,Daniel,1/9/2026,5/5/2026,,
Tobias Lund Andresen,Daniel,1/28/2026,,,
Dylan Groenewegen,Daniel,1/28/2026,,,
Lorenzo Fortunato,Daniel,1/28/2026,6/30/2026,,
Santiago Buitrago,Daniel,1/28/2026,6/30/2026,,
Cian Uijtdebroeks,Daniel,1/28/2026,,,
Dorian Godon,Daniel,5/5/2026,,TRUE,Olav Kooij
Ethan Vernon,Daniel,5/5/2026,6/30/2026,TRUE,Richard Carapaz
Orluis Aular,Daniel,5/5/2026,,TRUE,Pavel Bittner
Olav Kooij,Daniel,6/30/2026,,TRUE,Santiago Buitrago
Richard Carapaz,Daniel,6/30/2026,,TRUE,Ethan Vernon
Max Kanter,Daniel,6/30/2026,,TRUE,Lorenzo Fortunato
